2022Q1,5.1,Normal value (A)
2021Q4,4.7,Normal value (A)
2021Q3,4.1,Normal value (A)
2021Q2,14.6,Normal value (A)
2021Q1,-0.9,Normal value (A)
2020Q4,-4.3,Normal value (A)
2020Q3,-4.0,Normal value (A)
2020Q2,-14.6,Normal value (A)
2020Q1,-3.2,Normal value (A)
2019Q4,1.1,Normal value (A)
2019Q3,1.8,Normal value (A)
2019Q2,1.6,Normal value (A)
2019Q1,1.9,Normal value (A)
2018Q4,1.2,Normal value (A)
2018Q3,1.5,Normal value (A)
2018Q2,2.1,Normal value (A)
2018Q1,2.4,Normal value (A)
2017Q4,3.1,Normal value (A)
2017Q3,3.0,Normal value (A)
2017Q2,2.7,Normal value (A)
2017Q1,2.2,Normal value (A)
2016Q4,2.0,Normal value (A)
2016Q3,1.7,Normal value (A)
2016Q2,1.7,Normal value (A)
2016Q1,1.9,Normal value (A)
2015Q4,2.0,Normal value (A)
2015Q3,2.0,Normal value (A)
2015Q2,2.0,Normal value (A)
2015Q1,1.8,Normal value (A)
2014Q4,1.5,Normal value (A)
2014Q3,1.4,Normal value (A)
2014Q2,1.2,Normal value (A)
2014Q1,1.5,Normal value (A)
2013Q4,0.7,Normal value (A)
2013Q3,0.1,Normal value (A)
2013Q2,-0.4,Normal value (A)
2013Q1,-1.2,Normal value (A)
2012Q4,-1.0,Normal value (A)
2012Q3,-1.0,Normal value (A)
2012Q2,-0.8,Normal value (A)
2012Q1,-0.5,Normal value (A)
2011Q4,0.6,Normal value (A)
2011Q3,1.6,Normal value (A)
2011Q2,1.9,Normal value (A)
2011Q1,2.9,Normal value (A)
2010Q4,2.5,Normal value (A)
2010Q3,2.3,Normal value (A)
2010Q2,2.2,Normal value (A)
2010Q1,1.2,Normal value (A)
2009Q4,-2.3,Normal value (A)
2009Q3,-4.5,Normal value (A)
2009Q2,-5.4,Normal value (A)
2009Q1,-5.7,Normal value (A)
2008Q4,-2.2,Normal value (A)
2008Q3,0.1,Normal value (A)
2008Q2,1.1,Normal value (A)
2008Q1,2.2,Normal value (A)
2007Q4,2.3,Normal value (A)
2007Q3,3.0,Normal value (A)
2007Q2,3.1,Normal value (A)
2007Q1,3.5,Normal value (A)
2006Q4,3.8,Normal value (A)
2006Q3,3.2,Normal value (A)
2006Q2,3.4,Normal value (A)
2006Q1,2.9,Normal value (A)
2005Q4,2.2,Normal value (A)
2005Q3,1.9,Normal value (A)
2005Q2,1.4,Normal value (A)
2005Q1,1.5,Normal value (A)
2004Q4,1.7,Normal value (A)
2004Q3,2.1,Normal value (A)
2004Q2,2.4,Normal value (A)
2004Q1,1.9,Normal value (A)
2003Q4,1.1,Normal value (A)
2003Q3,0.5,Normal value (A)
2003Q2,0.4,Normal value (A)
2003Q1,0.8,Normal value (A)
2002Q4,1.2,Normal value (A)
2002Q3,1.2,Normal value (A)
2002Q2,0.9,Normal value (A)
2002Q1,0.4,Normal value (A)
2001Q4,1.3,Normal value (A)
2001Q3,1.9,Normal value (A)
2001Q2,2.3,Normal value (A)
2001Q1,3.2,Normal value (A)
2000Q4,3.4,Normal value (A)
2000Q3,3.9,Normal value (A)
2000Q2,4.5,Normal value (A)
2000Q1,4.2,Normal value (A)
